epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,3464.78,0.3818,0.28402,0.82942,0.91912,0.71703,0.79616,0.66533,0.47011,0.45063,0.84339,3.55064e-05,3.55064e-05,3.55064e-05
131,3491.35,0.37057,0.27946,0.82633,0.891,0.7346,0.79695,0.66994,0.47025,0.45226,0.8498,3.50065e-05,3.50065e-05,3.50065e-05
132,3517.6,0.38014,0.28438,0.82745,0.90614,0.71939,0.79313,0.66873,0.47162,0.44961,0.84838,3.45065e-05,3.45065e-05,3.45065e-05
133,3543.99,0.37994,0.28121,0.82515,0.91266,0.71334,0.79035,0.66951,0.46642,0.44051,0.84695,3.40066e-05,3.40066e-05,3.40066e-05
134,3570.96,0.37205,0.2807,0.82619,0.91559,0.72095,0.79222,0.66715,0.46686,0.44266,0.84261,3.35066e-05,3.35066e-05,3.35066e-05
135,3597.31,0.3843,0.28757,0.8305,0.93646,0.70267,0.79246,0.67252,0.46593,0.43659,0.8439,3.30067e-05,3.30067e-05,3.30067e-05
136,3623.78,0.37173,0.27911,0.82402,0.91941,0.71768,0.79503,0.66818,0.46548,0.44239,0.84208,3.25067e-05,3.25067e-05,3.25067e-05
137,3650.38,0.37159,0.27852,0.82844,0.92142,0.71538,0.7917,0.66827,0.46081,0.44031,0.83924,3.20068e-05,3.20068e-05,3.20068e-05
138,3676.59,0.36242,0.27118,0.82478,0.90229,0.7053,0.78394,0.6629,0.46114,0.45091,0.84104,3.15068e-05,3.15068e-05,3.15068e-05
139,3703.45,0.37707,0.28337,0.82266,0.9305,0.70185,0.78857,0.66844,0.46055,0.43578,0.84394,3.10069e-05,3.10069e-05,3.10069e-05
140,3729.89,0.37294,0.28159,0.82818,0.90222,0.71726,0.79649,0.66769,0.46374,0.43722,0.84338,3.0507e-05,3.0507e-05,3.0507e-05
141,3756.59,0.37992,0.28343,0.82665,0.91765,0.71836,0.79944,0.67362,0.46034,0.43832,0.84201,3.0007e-05,3.0007e-05,3.0007e-05
142,3783.05,0.36349,0.27001,0.82741,0.90538,0.71081,0.793,0.67002,0.4558,0.43946,0.83829,2.95071e-05,2.95071e-05,2.95071e-05
143,3809.45,0.37237,0.27544,0.82448,0.90334,0.71866,0.80148,0.67763,0.45476,0.4396,0.83696,2.90071e-05,2.90071e-05,2.90071e-05
144,3836.26,0.36432,0.27335,0.8285,0.9375,0.69398,0.79659,0.67225,0.46196,0.43906,0.83757,2.85072e-05,2.85072e-05,2.85072e-05
145,3862.82,0.37533,0.27993,0.82659,0.92408,0.7075,0.79944,0.67286,0.46422,0.44027,0.84058,2.80072e-05,2.80072e-05,2.80072e-05
146,3889.3,0.36525,0.26944,0.82517,0.89287,0.7278,0.79593,0.67302,0.46121,0.44206,0.84182,2.75072e-05,2.75072e-05,2.75072e-05
147,3915.85,0.36926,0.27585,0.82442,0.89155,0.72655,0.79505,0.67373,0.45814,0.44698,0.83903,2.70073e-05,2.70073e-05,2.70073e-05
